date,open,high,low,close,volume
2025-03-03 10:00:00+00:00,91798,92524,91518,92492,55.94672225
2025-03-03 11:00:00+00:00,92494,92871,92410,92713,25.62824422
2025-03-03 12:00:00+00:00,92688,93215,92664,92995,49.31712808
2025-03-03 13:00:00+00:00,92994,93668,92864,93563,62.24154892
2025-03-03 14:00:00+00:00,93566,93695,89157,89179,523.7292997
2025-03-03 15:00:00+00:00,89207,91250,89111,89989,332.5370179
2025-03-03 16:00:00+00:00,89993,90654,89624,90101,108.0518975
2025-03-03 17:00:00+00:00,90101,90929,89864,90247,28.596136
2025-03-03 18:00:00+00:00,90245,90392,86771,87097,390.5838721
2025-03-03 19:00:00+00:00,87096,87665,85500,85536,201.1325106
2025-03-03 20:00:00+00:00,85537,86318,85101,85992,170.722054
2025-03-03 21:00:00+00:00,85988,86485,85069,85336,72.30830556
2025-03-03 22:00:00+00:00,85324,86968,85252,86605,43.75079715
2025-03-03 23:00:00+00:00,86590,86738,85964,86160,25.1836509
2025-03-04 00:00:00+00:00,86161,86727,85826,85950,115.3309718
2025-03-04 01:00:00+00:00,85960,86097,82618,83320,415.3001068
2025-03-04 02:00:00+00:00,83301,84331,82450,83898,236.6874991
2025-03-04 03:00:00+00:00,83861,84374,83580,83920,31.85723545
2025-03-04 04:00:00+00:00,83929,83959,83301,83354,32.1932812
2025-03-04 05:00:00+00:00,83387,84496,83343,84225,22.19390773
2025-03-04 06:00:00+00:00,84228,84347,83565,83833,21.54872324
2025-03-04 07:00:00+00:00,83824,83952,83112,83142,60.51351803
2025-03-04 08:00:00+00:00,83141,83873,83002,83850,125.732381
2025-03-04 09:00:00+00:00,83851,84131,83605,83710,75.63285436
2025-03-04 10:00:00+00:00,83709,84000,83456,83920,25.72426611
2025-03-04 11:00:00+00:00,83920,84310,83656,83911,27.65881994
2025-03-04 12:00:00+00:00,83908,83932,83245,83762,71.74989924
2025-03-04 13:00:00+00:00,83716,83716,82170,82740,187.15212
2025-03-04 14:00:00+00:00,82755,84872,82037,83109,417.5156558
2025-03-04 15:00:00+00:00,83114,83289,81463,82922,240.4135967
2025-03-04 16:00:00+00:00,82915,83758,81989,83505,75.77979314
2025-03-04 17:00:00+00:00,83500,85462,83380,85418,328.3643533
2025-03-04 18:00:00+00:00,85359,86903,85127,86772,105.5796468
2025-03-04 19:00:00+00:00,86741,88482,86559,88221,128.7792163
2025-03-04 20:00:00+00:00,88210,88825,86668,86761,215.8689537
2025-03-04 21:00:00+00:00,86811,88922,86583,87506,201.3941539
2025-03-04 22:00:00+00:00,87505,87938,87390,87425,27.01665073
2025-03-04 23:00:00+00:00,87458,87730,87078,87240,16.2181059
2025-03-05 00:00:00+00:00,87262,87262,86397,86781,101.7813302
2025-03-05 01:00:00+00:00,86780,87756,86584,87645,46.12784412
2025-03-05 02:00:00+00:00,87610,87849,87015,87467,12.27580714
2025-03-05 03:00:00+00:00,87422,87850,86765,86765,7.23934724
2025-03-05 04:00:00+00:00,86824,87376,86720,86875,22.53548712
2025-03-05 05:00:00+00:00,86899,87229,86836,87127,5.52181779
2025-03-05 06:00:00+00:00,87127,87534,87000,87466,48.28272088
2025-03-05 07:00:00+00:00,87463,87681,87344,87597,21.45971861
2025-03-05 08:00:00+00:00,87600,87892,87588,87736,24.59115315
2025-03-05 09:00:00+00:00,87736,88803,87662,88476,145.940858
2025-03-05 10:00:00+00:00,88476,90623,88369,89911,281.7190713
2025-03-05 11:00:00+00:00,89882,90082,89568,89829,110.5758522
2025-03-05 12:00:00+00:00,89802,90917,89802,90360,111.0819257
2025-03-05 13:00:00+00:00,90377,90584,89100,89477,164.0754114
2025-03-05 14:00:00+00:00,89443,89797,88182,88517,105.3841221
2025-03-05 15:00:00+00:00,88519,89528,87916,88323,56.23059986
2025-03-05 16:00:00+00:00,88329,89236,87564,88919,129.0578381
2025-03-05 17:00:00+00:00,88927,90445,88782,89673,152.9231015
2025-03-05 18:00:00+00:00,89661,89909,88888,89688,97.52529525
2025-03-05 19:00:00+00:00,89701,90092,89475,89734,37.96713486
2025-03-05 20:00:00+00:00,89741,90546,89670,90478,61.74572062
2025-03-05 21:00:00+00:00,90500,90625,89925,90380,27.31448529
2025-03-05 22:00:00+00:00,90349,90524,90011,90463,13.34053943
2025-03-05 23:00:00+00:00,90523,90993,90318,90611,47.96822398
2025-03-06 00:00:00+00:00,90590,90820,89995,90089,33.50474876
2025-03-06 01:00:00+00:00,90060,91860,90060,91047,151.5865195
2025-03-06 02:00:00+00:00,91096,91992,91026,91805,153.4650214
2025-03-06 03:00:00+00:00,91805,92010,91433,91563,9.44807603
2025-03-06 04:00:00+00:00,91609,92424,91538,92279,31.98181635
2025-03-06 05:00:00+00:00,92288,92790,92140,92774,42.69804382
2025-03-06 06:00:00+00:00,92731,92752,91795,91918,55.80083903
2025-03-06 07:00:00+00:00,91926,91985,91254,91343,46.72002702
2025-03-06 08:00:00+00:00,91342,91600,91149,91160,32.30071674
2025-03-06 09:00:00+00:00,91147,91159,90638,90749,46.56251938
2025-03-06 10:00:00+00:00,90747,91649,90652,91273,76.57993769
2025-03-06 11:00:00+00:00,91290,91560,91026,91339,25.58751196
2025-03-06 12:00:00+00:00,91350,91395,89832,90131,99.18546076
2025-03-06 13:00:00+00:00,90096,90420,89467,89572,60.61316952
2025-03-06 14:00:00+00:00,89566,90358,89134,89812,220.9399364
2025-03-06 15:00:00+00:00,89794,91442,89622,90847,181.0103749
2025-03-06 16:00:00+00:00,90873,91056,89245,89292,90.5599299
2025-03-06 17:00:00+00:00,89308,89337,88000,88590,168.650347
2025-03-06 18:00:00+00:00,88605,88945,88133,88399,82.30860153
2025-03-06 19:00:00+00:00,88401,89376,87835,88512,83.11440292
2025-03-06 20:00:00+00:00,88544,89332,88476,89026,128.6780473
2025-03-06 21:00:00+00:00,89067,89875,88978,89875,71.99897412
2025-03-06 22:00:00+00:00,89886,90777,89532,90311,260.5004625
2025-03-06 23:00:00+00:00,90340,90576,89905,89918,15.89424029
2025-03-07 00:00:00+00:00,89922,91277,84713,85493,490.6996061
2025-03-07 01:00:00+00:00,85563,88887,85286,88295,303.21739
2025-03-07 02:00:00+00:00,88268,88429,87261,87261,89.49520369
2025-03-07 03:00:00+00:00,87263,87683,86812,86968,79.92350326
2025-03-07 04:00:00+00:00,86981,87878,86848,87615,72.42656136
2025-03-07 05:00:00+00:00,87615,88424,87581,88198,56.44466359
2025-03-07 06:00:00+00:00,88226,88344,87805,88185,14.06615858
2025-03-07 07:00:00+00:00,88207,88598,88107,88353,32.05394989
2025-03-07 08:00:00+00:00,88365,88473,87992,88392,23.01338645
2025-03-07 09:00:00+00:00,88363,89679,88350,88932,135.8210566
2025-03-07 10:00:00+00:00,88943,89284,88761,89257,66.60231011
2025-03-07 11:00:00+00:00,89259,89434,88867,88957,52.22808486
2025-03-07 12:00:00+00:00,88979,89305,88342,89060,138.7150149
2025-03-07 13:00:00+00:00,89059,90319,89005,89139,302.0809515
2025-03-07 14:00:00+00:00,89146,91081,88697,90458,273.8883146
2025-03-07 15:00:00+00:00,90447,90769,88054,88454,264.6305268
2025-03-07 16:00:00+00:00,88435,88937,86635,87202,186.6391061
2025-03-07 17:00:00+00:00,87210,88612,86563,87654,74.75070641
2025-03-07 18:00:00+00:00,87680,89000,87509,88550,36.42576385
2025-03-07 19:00:00+00:00,88570,88876,87319,87772,83.66389685
2025-03-07 20:00:00+00:00,87788,88442,86625,86949,265.8535065
2025-03-07 21:00:00+00:00,87007,87298,85593,86332,120.0846039
2025-03-07 22:00:00+00:00,86245,86810,85612,86733,97.05456766
2025-03-07 23:00:00+00:00,86707,86793,85966,86759,27.00132107
2025-03-08 00:00:00+00:00,86754,86861,86520,86693,24.47460716
2025-03-08 01:00:00+00:00,86693,86721,85190,86060,78.67125017
2025-03-08 02:00:00+00:00,86071,86287,85906,86160,16.334778
2025-03-08 03:00:00+00:00,86134,86141,85439,85897,40.50224246
2025-03-08 04:00:00+00:00,85897,86473,85638,86417,27.90385504
2025-03-08 05:00:00+00:00,86417,86427,85995,86260,6.79241621
2025-03-08 06:00:00+00:00,86255,86622,86255,86456,16.45390945
2025-03-08 07:00:00+00:00,86456,86526,86107,86179,32.4916024
2025-03-08 08:00:00+00:00,86180,86290,86034,86078,9.58517118
2025-03-08 09:00:00+00:00,86057,86436,85839,85926,18.38789909
2025-03-08 10:00:00+00:00,85956,86231,85929,86101,5.3913334
2025-03-08 11:00:00+00:00,86084,86095,85756,85922,10.16484404
2025-03-08 12:00:00+00:00,85921,86356,85809,86190,37.781522
2025-03-08 13:00:00+00:00,86190,86489,86098,86299,25.47420214
2025-03-08 14:00:00+00:00,86297,86582,86189,86330,22.15068563
2025-03-08 15:00:00+00:00,86331,86554,86194,86367,9.12636877
2025-03-08 16:00:00+00:00,86367,86426,85813,86113,49.08697462
2025-03-08 17:00:00+00:00,86109,86112,85653,85927,18.54433199
2025-03-08 18:00:00+00:00,85929,86049,85851,86019,4.26022465
2025-03-08 19:00:00+00:00,86055,86449,85801,86199,47.8026008
2025-03-08 20:00:00+00:00,86212,86343,86166,86247,4.76779613
2025-03-08 21:00:00+00:00,86249,86469,86183,86211,6.60943571
2025-03-08 22:00:00+00:00,86213,86314,85852,86314,56.73170248
2025-03-08 23:00:00+00:00,86313,86355,86040,86192,10.25935752
2025-03-09 00:00:00+00:00,86204,86428,86107,86392,11.45318018
2025-03-09 01:00:00+00:00,86392,86469,86075,86166,8.38533334
2025-03-09 02:00:00+00:00,86146,86248,85993,85994,29.11008034
2025-03-09 03:00:00+00:00,85993,86188,85952,86145,5.39768723
2025-03-09 04:00:00+00:00,86088,86095,85932,86038,3.20485508
2025-03-09 05:00:00+00:00,86019,86115,85960,86020,2.85099251
2025-03-09 06:00:00+00:00,85982,86010,85811,85862,9.78805049
2025-03-09 07:00:00+00:00,85872,86117,85818,85959,18.72819266
2025-03-09 08:00:00+00:00,85937,86036,85767,85767,24.20101604
2025-03-09 09:00:00+00:00,85770,85842,85401,85507,24.51464521
2025-03-09 10:00:00+00:00,85505,85618,84712,84822,49.88607789
